codigo,descricao,gtin,preco,estoque
536198,BISC PETIT SABLE 120G GOIABA INTEGRAL,7896415600460,6.99,0
536305,BISC DELICIAS DA VOVO 350G AMENDOIM,7898129610421,14.9,16000
536349,BISC POLVILHO SABOR 80G CEBOLA SALSA,7898924857458,9.9,0
536350,BISC POLVILHO SABOR 60G VEGANO,7898924857960,9.9,0
536352,BISC POLVILHO SABOR 60G BATERRABA,7898924857854,9.9,0
536354,BISC POLVILHO SABOR 60G TRAD,7898924857649,9.9,9000
536356,BISC POLVILHO SABOR 60G NACHO,7898924857441,9.9,3000
536357,BISC ISABELA 414G CRISTAL DOCE,7896022086176,9.9,45000
536383,COOKIES JASMINE INT 120G LARANJA,7896283001260,11.9,0
536384,BISC LOWCUCAR MAISENA140G TRAD,7896292002784,8.99,0
536577,BISC RECH BONO 126G MORANGO,7891000305195,3.49,0
536884,WAFER ISABELA 100G CHOC BR,7896022086213,2.79,960000
536886,WAFER ISABELA 100G CHOC SUICO,7896022086206,2.79,865000
536990,BISC DELICIAS DA VOVO 350G AMANT C/ GOIABADA,7898129613057,14.9,33000
536991,BISC DELICIAS DA VOVO 350G MANT,7898129610094,10.9,49000
536992,MERENGUE DELICIAS VOVO 200G CHOCO,7898129610490,15.9,32000
536993,BISC DELICIAS DA VOVO 380G RC MILHO,7898129610186,14.9,18000
536995,BISC DELICIAS DA VOVO 300G PAO MEL CHOCO,7898129610544,14.9,30000
536996,BISC DELICIAS DA VOVO 300G ROSC MAIZENA,7898129610162,14.9,59000
537177,BISC DELICIAS DA VOVO 300G ESQUECIDO,7898129610247,14.9,12000
537243,WAFER ISABELA 100G CHOCOLATE AO LEITE,7896022086183,2.79,1
